"","word","counts","aveScore"
"24","the",6961,1.65261675352739
"143","you",4714,1.63607858048162
"19","i",3486,1.59286598107504
"39","love",3154,1.74027626681935
"7","a",3132,1.58718096049476
"13","me",2895,1.51720139078266
"41","of",2551,1.59356383763838
"147","in.",2503,1.56548598304927
"98","my",2461,1.55010993176649
"73","to",2349,1.59086611785095
"2","on",1466,1.60481329113924
"5","it",1352,1.64395007597135
"27","your",1055,1.66985395189003
"12","for.",1040,1.58218830727396
"258","be",975,1.72869016290727
"194","is",967,1.65405202628697
"62","don.t",943,1.93209725158562
"314","all",860,1.66111406844106
"1","i.m",829,1.43019191049914
"9","do",742,1.65666983737343
"61","baby",700,1.48090503597122
"255","heart",684,1.62202350636631
"107","time",661,1.47661162079511
"515","little",660,1.41993343653251
"388","with",649,1.70725593008739
"543","blues",624,0.75838683788122
"35","one",616,1.42821316783594
"355","that",596,1.630536121673
"482","when",571,1.42813356164384
"432","it.s",570,1.7753504
"161","night",533,1.64167071935157
"33","no",531,1.6098756581612
"110","song",521,1.65751724137931
"197","man",515,1.56551394759087
"386","what",506,1.73090740740741
"391","girl",506,1.81883121019108
"6","like",503,1.86315831663327
"52","up",502,1.88598049414824
"20","go",492,1.54850149365198
"15","get",484,1.82783269961977
"311","down",479,1.48998694029851
"83","home",439,1.04362091503268
"111","so",434,1.49064009918526
"11","good",429,1.56694753577107
"76","got",426,1.57290822179732
"617","you.re",422,1.54028758169935
"237","just",421,1.70635764705882
"104","world",416,1.65648009367681
"383","come",413,1.4136387434555
"92","want",412,1.9671220043573
"219","can.t",411,1.80021882352941
"87","if.",409,1.79321895973154
"444","old",406,1.34607736720554
"17","this",405,1.7927037037037
"381","back",404,1.71621779859485
"182","way",400,1.64805051449953
"105","day",399,1.5358953722334
"31","never",393,1.66918796992481
"479","out",386,1.55575847457627
"363","blue",385,1.04000868725869
"403","again",383,1.69132658227848
"301","are",362,1.67939295774648
"599","la",360,1.52934963579605
"384","over",354,1.65128419182948
"281","from",352,1.5710113960114
"23","let",351,1.70357364341085
"257","i.ll",345,1.49483190883191
"385","know",345,1.71944757033248
"101","life",339,1.8835
"426","have",329,1.72054518950437
"274","take",323,1.6646976744186
"180","can",321,1.69978887744593
"210","we",321,1.6340125
"492","now",320,1.70609486166008
"106","at",319,1.57577943925234
"455","long",313,1.46921768707483
"1004","sweet",312,1.41111479028698
"133","by",309,1.4876132218845
"397","more",291,1.52998143236074
"171","away",288,1.38575623268698
"406","eyes",277,1.67650541516245
"90","how",274,1.65574104683196
"247","will",274,1.82935906040268
"657","oh",267,1.46970117647059
"259","there",266,1.61426117647059
"399","rock",266,2.09402099737533
"766","tonight",266,1.77792164179104
"121","too",252,1.43655666666667
"427","dream",251,1.39707663551402
"164","woman",249,1.97317509727626
"260","only",245,1.73413114754098
"667","moon",242,1.23413535911602
"191","not",240,1.68481358885017
"48","dance",234,2.0514328358209
"295","say",234,1.99884108527132
"140","why",232,1.16336206896552
"639","boy",232,1.70720994475138
"655","make",231,1.69034843205575
"243","new",230,1.30214915254237
"1521","de",227,1.46980690112807
"55","ain.t",224,1.62469314079422
"42","heaven",220,1.50851028806584
"387","tell",220,1.37294615384615
"608","gonna",218,1.72380555555556
"18","here",214,1.56949582463466
"93","around",213,2.00241148325359
"261","where",212,1.56773006134969
"317","last",208,1.49645217391304
"136","kiss",207,1.9295320754717
"63","cry",203,1.69886379928315
